episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
36,2,0,-427.36340628157757,0,1,0,700,0.8348931673187264,-432.71367968085826,0,11,-420.6042281302601,0,7,-402.9987956160501,0,1,-480.86742268076785,0,27,-399.6329052999523,0,0
37,6,0,-398.7241469933849,0,1,0,700,0.8307187014821328,-398.6775210289148,0,0,-398.6504320332992,0,0,-398.8574813564502,0,0,-398.63471423267555,0,0,-398.80058631558495,0,0
38,10,0,-425.51545073885103,0,1,0,700,0.8265651079747222,-408.5474738263322,0,3,-513.7403353609723,0,38,-405.7685613874957,0,2,-399.75523220714666,0,0,-399.7656509123084,0,0
39,11,0,-399.7768126379787,0,1,0,700,0.8224322824348486,-401.74598667334357,0,1,-399.2258721024554,0,0,-399.46608360928826,0,0,-399.3276502494169,0,0,-399.11847055538794,0,0
40,8,1,-477.0258197140706,0,1,0,700,0.8183201210226743,-429.2878410358461,0,10,-402.6883458395529,0,1,-558.6513655613876,0,53,-399.7647430406639,0,0,-594.7368030928994,13,0
41,4,0,-506.5455637026917,0,1,0,700,0.8142285204175609,-605.6251385149023,12,9,-398.90066348755107,0,0,-594.2650484447176,13,0,-399.35424971413994,0,0,-534.5827183521492,9,0
42,5,1,-744.1632942248409,0,1,1,700,0.810157377815473,-473.68185274240926,5,0,-534.1965163379064,9,0,-474.13333136413326,5,0,-399.4100713250536,0,0,-1839.3946993546929,97,0
43,3,0,-413.8647786517587,0,1,0,700,0.8061065909263957,-398.6606483666569,0,0,-398.7524108164844,0,0,-398.92327410577735,0,0,-398.940235904051,0,0,-474.047324065826,5,0
44,0,1,-496.1698133496551,0,1,0,700,0.8020760579717637,-459.6041309147859,4,0,-429.696790484893,2,0,-459.4132867889857,4,0,-687.5967942058654,19,1,-444.5380643537449,3,0
45,3,1,-516.5786640242277,0,1,0,700,0.798065677681905,-399.25490779174714,0,0,-429.4346403177125,2,0,-804.4793316362636,27,0,-474.8777968799655,5,0,-474.8466434954515,0,25
46,1,1,-569.3440540046905,0,1,0,700,0.7940753492934954,-774.5885796152319,24,5,-459.5492114903243,1,15,-501.51763909835586,6,4,-579.4957334109017,3,45,-531.569106408642,7,9
47,2,1,-399.54836444987535,0,1,0,700,0.7901049725470279,-399.0375333251424,0,0,-399.2500651186805,0,0,-399.8011131746452,0,0,-399.95392167937445,0,0,-399.69918895153467,0,0
48,11,1,-684.4384554243121,0,1,0,700,0.7861544476842928,-429.3669154371788,2,0,-678.6578493521783,7,58,-558.4174745844989,8,13,-486.5882307860729,2,19,-1269.1618069616331,58,0
49,4,1,-445.6297484531338,0,1,0,700,0.7822236754458713,-489.25751804073457,6,0,-399.32143873187465,0,0,-459.32334733384425,0,20,-465.6592062123937,0,22,-414.58723194682057,0,5
50,5,0,-419.55356373480225,0,1,0,700,0.778312557068642,-417.41729373981764,0,6,-399.1093170104946,0,0,-399.205628614525,0,0,-399.0921970375262,0,0,-482.94338227164894,0,28
51,8,0,-418.60369808880444,0,1,0,700,0.7744209942832988,-398.74801635792306,0,0,-398.5430407670812,0,0,-398.7287035143164,0,0,-398.921202315638,0,0,-498.0775274890636,4,13
52,9,1,-414.2166851695472,0,1,0,700,0.7705488893118823,-447.36453900575555,0,16,-399.4198725763949,0,0,-399.30220165724404,0,0,-411.14908509952454,0,4,-413.84772750881706,0,5
53,7,1,-499.1087972256279,0,1,0,700,0.7666961448653229,-447.26175438384223,3,1,-579.3879363200564,12,0,-534.5336665708588,9,0,-399.6726382744878,0,0,-534.6879905788942,9,0
54,2,1,91.89333045457754,1,0,0,179,0.7628626641409962,110.17665410526858,0,0,109.77506991671002,0,0,109.57891686050992,0,0,109.78935644116886,0,0,20.146654949229912,6,0
55,10,1,-401.5695779162018,0,1,0,700,0.7590483508202912,-399.2174501122195,0,0,-408.78236106668953,0,3,-399.87792329235185,0,0,-400.0331095848428,0,0,-399.9370455249055,0,0
56,6,0,-145.3811964695786,1,0,0,500,0.7552531090661897,-141.7632649912521,0,0,-142.24753099894517,0,0,-142.5410083569308,0,0,-142.69876674199534,0,0,-157.65541125876925,1,0
57,6,1,-407.2917191680268,0,1,0,700,0.7514768435208588,-399.11980519061154,0,0,-438.5033586438839,0,13,-399.5196022015589,0,0,-399.5502361533384,0,0,-399.76559365074195,0,0
58,3,0,-411.44714485041425,0,1,0,700,0.7477194593032545,-399.2437288843401,0,0,-399.50768024915556,0,0,-399.44842367580395,0,0,-399.56141236081083,0,0,-459.47447908195977,4,0
59,2,0,-399.63497784450686,0,1,0,700,0.7439808620067382,-399.4464577174567,0,0,-399.6086575559392,0,0,-399.6623154026962,0,0,-399.6953696437982,0,0,-399.76208890264195,0,0
60,1,0,-399.330870802213,0,1,0,700,0.7402609576967045,-399.25759328661866,0,0,-399.502909519419,0,0,-399.26956006213544,0,0,-399.17347091225895,0,0,-399.4508202306341,0,0
61,4,0,-453.90776657545626,0,1,0,700,0.736559652908221,-399.29294440110175,0,0,-609.2252479426288,14,0,-399.17761450216904,0,0,-399.41614822051525,0,0,-462.42687781086573,0,21
62,11,0,-461.0482124450602,0,1,0,700,0.7328768546436799,-410.81459427166925,0,4,-456.1936578430937,0,19,-399.1489737954471,0,0,-459.5080964615219,4,0,-579.5757398535682,11,5
63,9,0,-444.4401657599285,0,1,0,700,0.7292124703704616,-492.41648551171465,0,31,-399.38970310108704,0,0,-399.48555001768796,0,0,-519.455151427673,8,0,-411.4539387414793,0,4
64,7,0,-425.89612229180176,0,1,0,700,0.7255664080186093,-531.1790873775328,0,44,-399.3517026111807,0,0,-399.4202259823188,0,0,-399.70110870879756,0,0,-399.828486779176,0,0
65,0,0,-415.2932886849764,0,1,0,700,0.7219385759785162,-399.3551888383034,0,0,-411.9070017297464,0,4,-399.8207652968268,0,0,-465.9138731315951,0,22,-399.4696144284094,0,0
66,1,1,-731.1131657504214,0,1,0,700,0.7183288830986236,-888.3741624431626,31,8,-1020.201887233501,41,2,-777.4403098919504,2,116,-528.3733126267657,4,23,-441.17615655672614,0,14
67,10,0,-432.99295685554847,0,1,0,700,0.7147372386831305,-420.5398460208433,0,7,-399.3027847588482,0,0,-414.5033970571486,0,5,-399.2064610842833,0,0,-531.4122953566183,7,9
68,5,1,-492.8343815869374,0,1,0,700,0.7111635524897149,-444.45467142335485,3,0,-729.471013953937,22,0,-423.25688293085295,0,8,-468.0715432152787,0,23,-398.9177964112617,0,0
69,4,1,-431.5632409096381,0,1,0,700,0.7076077347272662,-456.11654115172684,0,19,-435.0179512161521,0,12,-399.2642504673639,0,0,-459.08091214684123,0,20,-408.3365495661076,0,3
70,3,1,-516.8702364361791,0,1,0,700,0.7040696960536299,-435.00681994672715,2,2,-878.9966205149672,27,25,-399.28859656841223,0,0,-462.4217886613118,0,21,-408.63735648947636,0,3
71,8,1,-509.12027751865077,0,1,0,700,0.7005493475733617,-713.7520122358845,21,0,-429.016722312558,2,0,-588.1909309868252,7,28,-399.80536005147565,0,0,-414.83636200650744,1,0
72,0,1,-435.9643198290141,0,1,0,700,0.697046600835495,-399.564563888851,0,0,-399.4440185048549,0,0,-399.3401991710984,0,0,-549.3593476765825,10,0,-432.11346990368247,2,1
73,11,1,-589.1280164835822,0,1,0,700,0.6935613678313175,-462.76555989514907,4,1,-633.5146530527455,15,3,-786.4587773229073,20,29,-558.3668515695481,10,3,-504.534240577558,0,35
74,8,0,-407.4858617437976,0,1,0,700,0.6900935609921609,-438.22950938314676,0,13,-399.2107827983449,0,0,-399.7581882462047,0,0,-400.1199041343625,0,0,-400.11092415693247,0,0
75,5,0,-446.8106168928636,0,1,0,700,0.6866430931872001,-441.24116012360867,0,14,-399.3426950635223,0,0,-594.2946891690887,13,0,-399.6682525778819,0,0,-399.5062875302162,0,0
76,9,0,249.71428571428572,1,0,0,1,0.6832098777212641,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
77,9,1,-404.01388038449926,0,1,0,700,0.6797938283326578,-408.64099944186466,0,3,-399.8649117764474,0,0,-399.7910458084609,0,0,-399.88624122436903,0,0,-411.8862036713559,0,4
78,8,0,249.71428571428572,1,0,0,1,0.6763948591909945,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
