episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
34,2,1,163.05094181469508,1,0,0,72,194.64888843468256,0,0,-83.33130395412445,0,16,-143.40001213550568,0,36,-35.25940752029419,0,0,-35.11774146556854,0,0
35,6,1,168.2464911699295,1,0,0,84,185.501110881567,0,0,-55.88424605131149,0,5,-98.08846342563629,0,19,-50.12255895137787,0,3,-44.173386603593826,0,1
36,2,1,237.56752384390148,1,0,0,15,238.7931064196995,0,0,-7.0129082798957825,0,0,-7.068067967891693,0,0,-6.834569036960602,0,0,-12.897084772586823,0,2
37,6,0,118.16597350920948,1,0,0,113,163.0948969551495,0,0,-169.14920243620872,0,38,-151.33489054441452,0,32,-67.33225277066231,0,4,-55.305826514959335,0,0
38,7,0,93.57247158629555,1,0,0,123,-4.884906687906806,0,53,-204.71963155269623,0,48,-60.75454330444336,0,0,-60.67577749490738,0,0,-60.53135445713997,0,0
39,1,3,39.72264524357661,1,0,0,150,-95.16795938355583,0,76,-209.34024414420128,0,46,-95.56110176444054,0,7,-95.53058552742004,0,7,-134.35831153392792,0,20
40,7,2,44.03186514122143,1,0,0,165,119.74347560746327,0,1,-179.2059071958065,0,33,-227.3034126162529,0,49,-206.26549753546715,0,42,-98.2379039824009,0,6
41,2,2,22.448669534921663,1,0,0,196,96.80515447258949,0,0,-271.1748051047325,8,18,-295.1839912235737,0,66,-97.19199857115746,0,0,-97.01101189851761,0,0
42,0,1,-63.98769250767563,1,0,0,270,-257.11126790302137,0,99,-352.0518575012684,0,73,-136.0459744334221,0,1,-133.06099072098732,0,0,-133.0969434082508,0,0
43,0,1,234.73659785900796,1,0,0,20,234.71235664401735,0,0,-9.569885015487671,0,0,-9.6910320520401,0,0,-9.668911576271057,0,0,-9.242395848035812,0,0
44,0,2,-300.8041138138089,1,0,0,333,-533.2776897932802,35,0,-628.5256174206734,27,20,-305.1360337138176,0,48,-254.50549525022507,0,31,-402.00430431962013,0,80
45,3,2,-1301.409573072193,0,1,0,700,-1050.4397395849228,0,217,-1003.6640599966049,16,138,-1027.6469469368458,37,41,-2017.742066502571,109,11,-1207.5550523400307,50,36
46,5,2,-410.85312498467306,1,0,0,606,-853.9898296977792,16,130,-391.1810559630394,0,30,-400.69117721915245,0,33,-314.2266821563244,0,4,-401.6054513156414,0,33
47,2,3,-421.3204791741708,1,0,0,684,-593.7721890764577,0,103,-456.8808467388153,0,39,-439.3580225110054,0,33,-349.8436140716076,0,3,-485.03343775868416,0,48
48,1,0,-933.3715341687208,0,1,0,700,-1176.2758578956127,16,178,-427.42880034446716,0,25,-1345.603781402111,0,332,-1162.3392794430256,0,271,-355.2099517583847,0,1
49,1,1,-1655.1368309259408,0,1,0,700,-854.1894949674606,5,126,-600.5879988074303,15,8,-1884.8207528591156,84,91,-2218.1244381070137,104,103,-2517.961469888687,108,182
50,5,0,-1395.9380950093257,0,1,0,700,-1441.657292932272,50,97,-1479.063394188881,60,76,-1764.2840658128262,32,311,-771.2062964439392,0,141,-1323.4794256687164,10,275
51,3,0,-1494.0871216833598,0,1,0,700,-1999.5878432393074,54,263,-1067.7474635243416,33,75,-866.6716964244843,12,112,-1650.092080682516,30,283,-1686.3365245461464,21,341
52,3,1,-583.8104132115843,0,1,0,700,-790.1102525889874,0,130,-521.5116281211376,0,57,-479.86203733086586,0,43,-531.226068019867,0,60,-396.3420799970627,0,15
53,1,2,-1226.9539273083208,0,1,0,700,-984.8349851369858,0,195,-1579.718850106001,70,60,-607.5242120921612,16,6,-1510.4741224646568,71,32,-1252.2174667418003,49,56
54,2,0,-609.0187750935556,0,1,0,700,-786.64195266366,0,129,-526.9087923169136,0,59,-455.18756330013275,0,35,-506.4040340781212,0,52,-569.9515331089497,0,74
55,5,1,-893.0165914416314,0,1,0,700,-1268.113193899393,39,95,-399.5463713109493,1,12,-357.8124078810215,0,3,-882.7893697917461,35,3,-1356.8216143250465,65,11
56,4,0,-580.3872861683366,0,1,0,700,-689.5194307863712,0,97,-493.1262458860874,0,48,-373.2356149852276,1,3,-628.3265254199505,0,93,-517.7286137640476,0,56
57,3,3,-1040.8319452106957,0,1,0,700,-878.6455302238464,19,65,-1842.853651612997,78,108,-832.4539816379547,16,81,-971.0701268911362,0,208,-479.13643568754196,0,43
58,4,1,-1129.4540719568745,0,1,0,700,-963.7204251885414,0,189,-476.27691715955734,0,44,-722.3349103927612,0,125,-1373.9232170283794,26,212,-1911.0148900151253,81,117
59,7,1,-883.0094764709465,0,1,0,700,-1143.0266316831112,1,243,-1111.4127425253391,9,209,-493.6748101711273,2,38,-508.5553416609764,8,13,-958.3778563141823,26,73
60,6,2,-732.7990284502503,0,1,0,700,-1197.362278997898,0,266,-763.562564343214,0,138,-658.2311931848526,3,88,-385.1201842725277,0,12,-459.7189214527607,0,37
61,5,3,-839.6371373593818,0,1,0,700,-1276.6200580596924,41,88,-1574.8607368767262,75,34,-449.9046795964241,0,34,-348.3812157213688,0,0,-348.4189965426922,0,0
62,4,2,-1318.0737111568449,0,1,0,700,-1359.0027083158493,30,171,-580.1777993142605,0,77,-1456.6703606247902,29,225,-2317.726675540209,94,187,-676.7910119891167,0,109
63,6,3,-601.3196412861344,0,1,0,700,-1164.2477471530437,27,120,-592.7040281295776,6,51,-349.6168223619461,0,0,-350.0986161530018,0,0,-349.9309926331043,0,0
64,0,3,-1129.3990280807006,0,1,1,700,-2139.0456244647503,27,450,-613.0180133879185,0,88,-397.2825890183449,0,16,-493.2013809680939,0,48,-1804.4475325644016,83,71
65,4,3,-533.3580004930492,0,1,0,700,-532.4582190215588,0,45,-656.349952429533,0,103,-566.0862302780151,0,73,-346.9285728633404,0,0,-364.9670278728008,0,6
66,7,3,-1625.7950075268734,0,1,0,700,-1517.941028803587,0,372,-940.3477401733398,12,136,-1669.6169828176498,0,440,-1591.4826390743256,69,68,-2209.5866467654705,100,120
67,2,0,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
68,2,1,-699.1554266001496,1,0,0,627,-1059.7843051339898,19,178,-1574.890643298626,64,101,-357.28265514969826,3,0,-345.6756832897663,0,11,-441.57241755723953,0,43
