episode,worker_id,env_idx,reward,success,timeout,collisions,steps,eps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
27,0,1,-567.5602857217159,0,1,0,700,0.8734200960253871,-566.560608671618,8,16,-548.7307186171987,10,0,-533.7650067521804,9,0,-399.3291913370772,0,0,-789.4159032305073,26,0
28,3,1,-437.4723432651311,0,1,0,700,0.8690529955452602,-591.2059715086577,10,14,-399.06612463945197,0,0,-398.884133431262,0,0,-399.1508084955298,0,0,-399.0546782507554,0,0
29,7,1,-542.1661527607951,0,1,0,700,0.8647077305675338,-648.2142622231625,15,8,-399.709894919109,0,0,-412.21511893276016,0,5,-850.1906990456741,30,0,-400.50078868326733,0,0
30,4,1,-509.23206133101735,0,1,0,700,0.8603841919146962,-594.6635890125935,13,0,-519.3715273460601,8,0,-543.432962350578,7,13,-414.41512781782575,0,5,-474.27710012802663,0,25
31,6,1,-440.3136125990507,0,1,0,700,0.8560822709551227,-399.5236167895718,0,0,-399.5192006113396,0,0,-544.0730264827926,0,48,-457.679663438356,0,19,-400.7725556731901,0,0
32,4,0,120.0356817601902,1,0,0,161,0.851801859600347,124.69198312467609,0,0,124.18755876463159,0,0,121.01447793766421,0,1,112.21019870332742,0,4,118.07419027065157,0,2
33,2,0,-404.4120088022802,0,1,0,700,0.8475428503023453,-399.19697013978964,0,0,-399.3202442187881,0,0,-399.5299157720799,0,0,-423.89323084531253,0,8,-400.1196830354303,0,0
34,2,1,-486.03574661579825,0,1,0,700,0.8433051360508336,-537.7498996299216,9,1,-435.8073410340623,0,12,-603.7998833467466,11,13,-399.4303980592071,0,0,-453.3912110090532,0,18
35,6,0,-399.12695331889455,0,1,0,700,0.8390886103705794,-399.0818046069764,0,0,-399.2343680392114,0,0,-399.0735911820126,0,0,-398.9497616537542,0,0,-399.2952411125182,0,0
36,7,0,-417.8606827441855,0,1,0,700,0.8348931673187264,-399.0865664004727,0,0,-417.0878336480971,0,6,-444.3113901377513,3,0,-429.3524755219285,2,0,-399.4651480126797,0,0
37,4,1,-531.3621499085422,0,1,0,700,0.8307187014821328,-440.80172476260464,0,14,-432.2272559775777,0,11,-399.27287140326234,0,0,-834.7094218079416,29,0,-549.7994755913219,10,0
38,0,0,-465.3265543971602,0,1,0,700,0.8265651079747222,-398.81550511572567,0,0,-474.4074563575863,5,0,-504.39552917787165,7,0,-549.4805949474921,10,0,-399.53368638712357,0,0
39,5,0,-437.91019346889243,0,1,0,700,0.8224322824348486,-458.29008627926737,4,0,-503.3629301212229,7,0,-398.77690590507655,0,0,-399.28273913712997,0,0,-429.83830590176643,0,10
