episode,worker_id,env_idx,reward,success,timeout,collisions,steps,eps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
998,6,0,-399.6789903340528,0,1,0,700,0.05,-399.5233707169261,0,0,-399.5244771401282,0,0,-399.61617882222913,0,0,-399.8533059796911,0,0,-399.87761901129153,0,0
999,2,1,-408.49654400054567,0,1,0,700,0.05,-444.41981023741465,3,0,-399.6345702217293,0,0,-399.4896459932964,0,0,-399.52426368586714,0,0,-399.4144298644202,0,0
1000,0,1,-399.52052819708865,0,1,0,700,0.05,-399.539400614918,0,0,-399.4547944175913,0,0,-399.4180186754052,0,0,-399.57447130965505,0,0,-399.6159559678729,0,0
1001,3,0,-661.1715291717478,0,1,1,700,0.05,-399.2604477838108,0,0,-399.54559863818116,0,0,-1704.6361543228772,88,0,-399.6678910036579,0,0,-402.74755411021454,0,1
1002,4,0,-408.438586760348,0,1,0,700,0.05,-399.6638723414059,0,0,-399.54749825577073,0,0,-399.47597382294543,0,0,-399.15449701044076,0,0,-444.3510923711774,3,0
1003,1,1,-504.6549836944453,0,1,0,700,0.05,-444.6276094702471,3,0,-609.6141378124661,14,0,-429.7285704509942,2,0,-639.6929369884016,16,0,-399.6116637501191,0,0
1004,5,1,-402.4768951162347,0,1,0,700,0.05,-399.5901641662551,0,0,-414.6018189594002,0,5,-399.3046070074916,0,0,-399.4678535918116,0,0,-399.42003185621655,0,0
1005,4,1,-399.18965888481,0,1,0,700,0.05,-398.9876217108194,0,0,-399.04155998439,0,0,-399.2840644439771,0,0,-399.27860197970006,0,0,-399.35644630516344,0,0
1006,6,1,-399.1345800916055,0,1,0,700,0.05,-398.6185930363463,0,0,-398.9371154774332,0,0,-399.33780606732256,0,0,-399.34598313960447,0,0,-399.43340273731957,0,0
1007,1,0,-693.8433436762037,0,1,0,700,0.05,-486.4234871510211,1,24,-510.45118601028787,0,37,-969.1292136434945,38,0,-699.0548751534259,20,0,-804.1579564227899,27,0
1008,3,1,-399.5420761104462,0,1,0,700,0.05,-399.38039464444813,0,0,-399.38519808608055,0,0,-399.5202963414393,0,0,-399.70610944113895,0,0,-399.71838203912057,0,0
1009,2,0,-633.9578553036891,0,1,0,700,0.05,-399.7038404647128,0,0,-714.8963092149962,21,0,-1180.012297295885,52,0,-445.0797988067479,3,0,-430.09703073610683,2,0
1010,3,1,249.71428571428572,1,0,0,1,0.05,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1011,5,0,-399.62836603999995,0,1,0,700,0.05,-399.6339171104149,0,0,-399.61585524036116,0,0,-399.6587362672848,0,0,-399.60259840747636,0,0,-399.6307231744623,0,0
1012,0,0,-453.7056807866161,0,1,0,700,0.05,-432.8242578780816,0,11,-420.6115390190893,0,7,-474.83669830205974,0,26,-504.5711068662292,7,0,-435.6848018676192,2,2
1013,7,1,-399.6464105345712,0,1,0,700,0.05,-399.0405315946009,0,0,-399.4186983797393,0,0,-399.9392150855367,0,0,-399.8978115437441,0,0,-399.93579606923214,0,0
1014,7,0,-412.5868550483748,0,1,0,700,0.05,-462.1498528499578,3,6,-399.745930862855,0,0,-400.3529438690702,0,0,-400.39628557222164,0,0,-400.28926208776807,0,0
1015,6,0,-401.7726266933847,0,1,0,700,0.05,-399.80447171505585,0,0,-408.69141892232994,0,3,-399.5118207910258,0,0,-399.14389466476894,0,0,-401.71152737374405,0,1
1016,2,1,-414.5591651570639,0,1,0,700,0.05,-429.3502206005268,2,0,-399.6391768151789,0,0,-429.81460623801996,1,5,-414.6604924392652,1,0,-399.3313296923281,0,0
1017,0,1,-490.69765199886695,0,1,1,700,0.05,-399.2483590804031,0,0,-414.4517979765776,1,0,-756.3380838090982,21,19,-483.747635677655,0,28,-399.70238345059835,0,0
1018,3,0,-450.17498819947406,0,1,0,700,0.05,-399.0947503865817,0,0,-429.3118036348161,2,0,-549.2078124460177,10,0,-473.9954154314253,5,0,-399.2651590985296,0,0
1019,4,0,-399.56019956395477,0,1,0,700,0.05,-399.28714433240015,0,0,-399.26536279593904,0,0,-399.8025096997608,0,0,-399.7321770732313,0,0,-399.71380391844247,0,0
1020,3,1,112.21602898338402,1,0,0,176,0.05,112.4745069061783,0,0,112.22134574498732,0,0,112.12639191128144,0,0,112.08347835001133,0,0,112.17442200446168,0,0
1021,1,1,-400.6376476876727,0,1,0,700,0.05,-405.3959372420433,0,2,-399.36480721461373,0,0,-399.7305627050851,0,0,-399.47637183187226,0,0,-399.2205594447509,0,0
1022,5,1,-399.5162421760417,0,1,0,700,0.05,-399.39800328250317,0,0,-399.6080939085885,0,0,-399.5464303971035,0,0,-399.47629888821257,0,0,-399.5523844038023,0,0
1023,4,1,-399.24954270740807,0,1,0,700,0.05,-398.8339552949794,0,0,-399.0358071668423,0,0,-399.55711146348756,0,0,-399.51211545168127,0,0,-399.30872416004985,0,0
1024,6,1,-399.57401154319626,0,1,0,700,0.05,-399.4987243641852,0,0,-399.5077881835177,0,0,-399.6037537191838,0,0,-399.6283194530873,0,0,-399.63147199600905,0,0
1025,1,0,-441.4336796967042,0,1,0,700,0.05,-459.5746033899771,4,0,-429.73260022617194,2,0,-414.53171158738394,1,0,-474.4051429818556,5,0,-428.9243402981336,2,0
1026,2,0,-494.5370809551459,0,1,0,700,0.05,-678.6811712442739,4,73,-579.9851514489596,0,60,-414.6497667416882,1,0,-399.81813103891665,0,0,-399.55118430189304,0,0
1027,5,0,-421.45516024074783,0,1,0,700,0.05,-399.4941733594643,0,0,-399.496357121561,0,0,-400.0967938104286,0,0,-499.105333577002,0,33,-409.0831433352852,0,3
1028,0,0,-457.05107001826957,0,1,0,700,0.05,-447.1410940854661,0,16,-399.56762710929405,0,0,-594.4869084578194,13,0,-444.5154623036244,3,0,-399.54425813514024,0,0
1029,7,1,-399.3855305608445,0,1,0,700,0.05,-399.33174300169634,0,0,-399.3593543862862,0,0,-399.3569287937541,0,0,-399.39572878721856,0,0,-399.48389783526983,0,0
1030,7,0,-399.0977579855334,0,1,0,700,0.05,-398.98794343582165,0,0,-398.98034657199304,0,0,-399.21488758935106,0,0,-399.1811867484202,0,0,-399.12442558208204,0,0
1031,6,0,-399.122183111018,0,1,0,700,0.05,-398.8090355472218,0,0,-398.7648347943485,0,0,-399.2894204258844,0,0,-399.37027684203963,0,0,-399.37734794559594,0,0
1032,2,1,-399.8811688897846,0,1,0,700,0.05,-399.7268441357215,0,0,-399.7375654531758,0,0,-399.8146258079156,0,0,-400.0508561562604,0,0,-400.0759528958496,0,0
1033,0,1,-399.39169339441565,0,1,0,700,0.05,-399.3421836255352,0,0,-399.3509050127899,0,0,-399.36691368480774,0,0,-399.4447055611452,0,0,-399.4537590878017,0,0
1034,3,0,-399.05551933694045,0,1,0,700,0.05,-398.80398282370123,0,0,-399.02176624125116,0,0,-399.19611461261775,0,0,-399.30120770930444,0,0,-398.95452529782506,0,0
1035,4,0,-399.4028569310957,0,1,0,700,0.05,-398.9750116504944,0,0,-399.4447869992727,0,0,-399.60855530552703,0,0,-399.5830675034347,0,0,-399.4028631967485,0,0
1036,3,1,-404.33079625933277,0,1,0,700,0.05,-398.7273734315486,0,0,-398.66839476766813,0,0,-399.16372877006586,0,0,-426.11921154960254,0,9,-398.97527277777766,0,0
1037,1,1,-399.68991210459535,0,1,0,700,0.05,-399.4120665348253,0,0,-399.50242866595164,0,0,-399.79790674414323,0,0,-399.8683058103117,0,0,-399.8688527677417,0,0
1038,5,1,-551.97660284719,0,1,0,700,0.05,-993.3591856999701,35,23,-444.77347454032724,0,15,-519.7090831901148,8,0,-399.6296882278442,0,0,-402.41158257769183,0,1
1039,4,1,-478.7990059366752,0,1,0,700,0.05,-402.57158817395367,0,1,-429.57829355197464,2,0,-402.66243696215327,0,1,-534.6601118103451,9,0,-624.5225991849527,15,0
1040,6,1,-401.61832571320184,0,1,0,700,0.05,-399.36868455189904,0,0,-399.4786396164392,0,0,-399.3307290139516,0,0,-399.1802954524518,0,0,-410.73327993126776,0,4
1041,1,0,-399.44760954856105,0,1,0,700,0.05,-399.6236440675874,0,0,-399.4715678215567,0,0,-399.4187282570301,0,0,-399.4620029673495,0,0,-399.26210462928117,0,0
1042,2,0,-428.27738918116944,0,1,0,700,0.05,-423.3982751183591,0,8,-399.506473713346,0,0,-489.53890284881004,6,0,-414.533215911365,0,5,-414.41007831396894,1,0
1043,5,0,-412.72271326555466,0,1,0,700,0.05,-399.3767521053502,0,0,-423.48046844813894,0,8,-441.57086387074685,0,14,-399.59893877436406,0,0,-399.58654312917054,0,0
1044,0,0,-436.6313761652875,0,1,0,700,0.05,-477.0046411411614,0,26,-402.43613583439657,0,1,-399.4794545458797,0,0,-399.5788130403151,0,0,-504.65783626468306,7,0
1045,0,0,249.71428571428572,1,0,0,1,0.05,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1046,7,1,-399.458712013462,0,1,0,700,0.05,-399.46189742263147,0,0,-399.46241290786116,0,0,-399.4603653551181,0,0,-399.4640900742099,0,0,-399.44479430749055,0,0
1047,7,1,249.71428571428572,1,0,0,1,0.05,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1048,7,0,-401.72543930757024,0,1,0,700,0.05,-398.77466265032706,0,0,-398.6700248327349,0,0,-413.57234479083223,1,0,-398.92600112647466,0,0,-398.6841631374821,0,0
1049,6,0,-399.4455538175517,0,1,0,700,0.05,-399.5462959237262,0,0,-399.4172933662829,0,0,-399.38726126286025,0,0,-399.37238711647524,0,0,-399.5045314184148,0,0
1050,2,1,-404.78373226466096,0,1,0,700,0.05,-399.11539812249544,0,0,-399.1821815646713,0,0,-399.27506162672967,0,0,-399.44569193735884,0,0,-426.9003280720512,0,9
1051,0,1,-445.64989097698464,0,1,0,700,0.05,-432.30095340298675,0,11,-519.647027329491,8,0,-444.71165017049645,1,10,-417.4188334908439,0,6,-414.17099049110504,1,0
1052,3,0,-398.89156723696874,0,1,0,700,0.05,-398.71056931040226,0,0,-398.79728779061725,0,0,-398.88015409082647,0,0,-398.9259100374743,0,0,-399.14391495552377,0,0
1053,4,0,-399.6734373617631,0,1,0,700,0.05,-399.68646109497627,0,0,-399.7334687976154,0,0,-399.7000066478552,0,0,-399.6467084244528,0,0,-399.6005418439139,0,0
1054,3,1,-399.1262377302204,0,1,0,700,0.05,-398.9354307442397,0,0,-398.960413872691,0,0,-399.20650789462456,0,0,-399.1818342492096,0,0,-399.34700189033896,0,0
1055,4,0,213.68193855078025,1,0,0,47,0.05,214.13561725185662,0,0,213.56902176671122,0,0,213.5813650429321,0,0,213.58887747612675,0,0,213.53481121627465,0,0
1056,1,1,-399.32145376063295,0,1,0,700,0.05,-399.03535488022766,0,0,-399.2637505606301,0,0,-399.38150217643954,0,0,-399.3589568148474,0,0,-399.5677043710182,0,0
1057,5,1,-413.9668789611042,0,1,0,700,0.05,-399.59478439694243,0,0,-462.6805723419511,0,21,-408.46825526805833,0,3,-399.57719388687246,0,0,-399.5135889116948,0,0
1058,4,1,-399.3567654248882,0,1,0,700,0.05,-399.09438948565486,0,0,-399.37930000009766,0,0,-399.4430832414567,0,0,-399.44964039441135,0,0,-399.41741400282046,0,0
1059,6,1,-403.4192295937245,0,1,0,700,0.05,-398.8195402266394,0,0,-399.3269263844995,0,0,-399.3076884875619,0,0,-420.31941667222634,0,7,-399.32257619769615,0,0
1060,1,0,-399.5283342108936,0,1,0,700,0.05,-399.75018450779135,0,0,-399.61555958093385,0,0,-399.5287972420882,0,0,-399.371727718251,0,0,-399.3754020054031,0,0
1061,2,0,-399.2956031502896,0,1,0,700,0.05,-399.10805493439506,0,0,-399.16093994182177,0,0,-399.1715801215563,0,0,-399.57655679969776,0,0,-399.46088395397544,0,0
1062,5,0,-430.84704364256027,0,1,0,700,0.05,-398.88611137946117,0,0,-488.8262094733324,5,5,-468.25644332361253,0,23,-399.09084101323054,0,0,-399.1756130231645,0,0
1063,0,0,-399.3717822795978,0,1,0,700,0.05,-398.97840045133387,0,0,-399.50653804281706,0,0,-399.5204579599722,0,0,-399.3007678818565,0,0,-399.552747062013,0,0
1064,7,1,-402.9426054276735,0,1,0,700,0.05,-399.4358191168685,0,0,-400.0067563672604,0,0,-399.97244752252954,0,0,-399.9895092064581,0,0,-415.3084949252515,1,0
1065,7,0,-415.269704552105,0,1,0,700,0.05,-411.6616270520109,0,4,-444.795977258971,0,15,-399.6915521985767,0,0,-399.65212225475886,0,0,-420.5472439962081,0,7
1066,6,0,-407.4478039554996,0,1,0,700,0.05,-398.7513873244894,0,0,-398.7522222666132,0,0,-399.23886566901984,0,0,-399.2510140806839,0,0,-441.24553043668953,0,14
1067,2,1,-414.5799262485549,0,1,0,700,0.05,-399.78886946424234,0,0,-399.6232884990453,0,0,-414.5475648873078,1,0,-444.3934800642342,3,0,-414.54642832794593,1,0
1068,0,1,-399.10356790766974,0,1,0,700,0.05,-398.3988498592632,0,0,-399.01132963057717,0,0,-399.2769215375993,0,0,-399.3991661756745,0,0,-399.43157233523345,0,0
1069,3,0,-409.65922538970545,0,1,0,700,0.05,-399.50206444472593,0,0,-399.4273400642852,0,0,-399.27009403353964,0,0,-420.38355255832903,0,7,-429.7130758476501,2,0
1070,3,1,-427.3424953479846,0,1,0,700,0.05,-405.5163148162292,0,2,-399.7746419757416,0,0,-516.9383140211957,0,39,-399.82308572832085,0,0,-414.6601201984344,1,0
1071,4,0,-579.3078732271147,0,1,0,700,0.05,-413.77227742090554,1,0,-474.2042880082472,5,0,-1119.4093478667878,48,0,-444.60532844147576,3,0,-444.54812439815396,2,5
1072,2,1,106.21157446645036,1,0,0,184,0.05,106.18043339121179,0,0,106.21378290813303,0,0,106.27585856834541,0,0,106.34973467713613,0,0,106.03806278742532,0,0
1073,1,1,-419.9777528862268,0,1,0,700,0.05,-398.5811987580333,0,0,-398.8743932958175,0,0,-398.9772803228395,0,0,-444.11400043188763,3,0,-459.34189162255495,4,0
1074,5,1,-444.5482674641842,0,1,0,700,0.05,-398.85586981778556,0,0,-399.3011439830466,0,0,-399.73577484677304,0,0,-624.7123622209922,15,0,-400.1361864523252,0,0
1075,4,1,-399.61313609822577,0,1,0,700,0.05,-399.7033061605435,0,0,-399.666835994267,0,0,-399.59591869930443,0,0,-399.5224763112151,0,0,-399.57714332579934,0,0
1076,6,1,-428.9375190802259,0,1,0,700,0.05,-398.71129378777084,0,0,-548.7844079217778,10,0,-399.0652634843553,0,0,-399.0612386059881,0,0,-399.0653916012379,0,0
1077,1,0,-399.1667092948183,0,1,0,700,0.05,-398.83618189290627,0,0,-398.95048757864896,0,0,-399.2958230202211,0,0,-399.32336157123274,0,0,-399.42769241108215,0,0
1078,2,0,-399.39659940949156,0,1,0,700,0.05,-399.3681999193882,0,0,-399.38398538221475,0,0,-399.3580835435864,0,0,-399.44148583492273,0,0,-399.43124236734565,0,0
1079,5,0,-398.9549884332137,0,1,0,700,0.05,-399.23923534766686,0,0,-398.88621361518466,0,0,-398.9059801028915,0,0,-398.9607310827363,0,0,-398.78278201758906,0,0
1080,0,0,-403.5336164578876,0,1,0,700,0.05,-399.3012995894776,0,0,-420.2902942510354,0,7,-399.3806684245939,0,0,-399.3503852250436,0,0,-399.3454347992894,0,0
1081,7,1,-399.3392242428421,0,1,0,700,0.05,-399.554923094599,0,0,-399.60644252550804,0,0,-399.41762882035357,0,0,-399.21616278642824,0,0,-398.90096398732453,0,0
1082,7,0,-425.8997708232764,0,1,0,700,0.05,-444.1503605798039,3,0,-414.6228970256981,0,5,-465.5663956320823,0,22,-399.5064455124722,0,0,-405.6527553663283,0,2
1083,6,0,-399.23548842237574,0,1,0,700,0.05,-398.6536189613884,0,0,-399.03287842459406,0,0,-399.3629776884157,0,0,-399.5415850716365,0,0,-399.58638196584224,0,0
1084,0,1,-399.30844223759215,0,1,0,700,0.05,-399.1629231670694,0,0,-399.2930966373906,0,0,-399.3535649958536,0,0,-399.3782179633824,0,0,-399.3544084242629,0,0
1085,3,0,-521.9598251101266,0,1,0,700,0.05,-611.8532315302526,0,71,-648.423812428159,0,84,-438.4585246839709,0,13,-511.00743364286404,7,2,-400.05612326538784,0,0
1086,3,1,-415.2007958392903,0,1,0,700,0.05,-408.6912202004342,0,3,-438.7310806918492,0,13,-399.6143344581963,0,0,-429.55933777522324,2,0,-399.4080060707485,0,0
1087,4,0,-400.2389333834375,0,1,0,700,0.05,-404.5290782434416,0,2,-398.6352177275255,0,0,-399.20812307710725,0,0,-399.4018700021921,0,0,-399.4203778669229,0,0
1088,2,1,-405.72644504398204,0,1,0,700,0.05,-399.5191864392791,0,0,-399.2591342970185,0,0,-399.04369598871233,0,0,-398.76722598999226,0,0,-432.042982504908,2,1
1089,1,1,-399.4578398979864,0,1,0,700,0.05,-399.3557742685505,0,0,-399.539669130405,0,0,-399.362018799711,0,0,-399.35934788126383,0,0,-399.67238941000187,0,0
1090,5,1,-399.3721860353353,0,1,0,700,0.05,-399.3817866231697,0,0,-399.2430171019338,0,0,-399.3245467167327,0,0,-399.4184487883324,0,0,-399.4931309465054,0,0
1091,4,1,-458.8869962426759,0,1,0,700,0.05,-426.15247901906883,0,9,-534.2347210338364,7,10,-414.5335661149992,1,0,-519.7388876689863,8,0,-399.7753273764867,0,0
1092,6,1,-399.29178383220517,0,1,0,700,0.05,-399.31184525162627,0,0,-399.32676356250033,0,0,-399.2798017736774,0,0,-399.2743272670941,0,0,-399.2661813061266,0,0
1093,7,1,-70.65055878574216,1,0,0,409,0.05,-70.14453561784632,0,0,-70.53100252127527,0,0,-70.78717251147665,0,0,-70.96282312935327,0,0,-70.82726014876002,0,0
1094,1,0,-403.3652837626915,0,1,0,700,0.05,-414.02505793884205,0,5,-399.2886218766228,0,0,-399.52762013946216,0,0,-399.1927218595371,0,0,-404.79239699899114,0,2
1095,4,1,-65.93985664481303,1,0,0,304,0.05,-62.62447335929039,5,0,-2.846668921307611,1,0,-92.97894149286904,7,0,-183.13019318440487,13,0,11.880993733806406,0,0
1096,2,0,-406.83832433138815,0,1,0,700,0.05,-399.29779690327797,0,0,-435.62247862373454,0,12,-399.69411028088354,0,0,-399.6604666142177,0,0,-399.9167692348256,0,0
1097,5,0,-400.20586406144764,0,1,0,700,0.05,-404.4228566425897,0,2,-398.8923620938835,0,0,-398.83083873171876,0,0,-399.2528845118371,0,0,-399.6303783272066,0,0
1098,0,0,-536.183718456507,0,1,0,700,0.05,-489.5685940210546,6,0,-639.9015379647116,16,0,-751.0901961319995,1,112,-400.15237194414783,0,0,-400.205892220623,0,0
1099,7,0,-503.9633201456536,0,1,0,700,0.05,-579.4463198490487,12,0,-510.4806674049583,6,7,-585.6925260978185,1,57,-444.5589714893197,3,0,-399.63811588712366,0,0
1100,6,0,-399.4101080169014,0,1,0,700,0.05,-399.4449008096715,0,0,-399.4953734229512,0,0,-399.42066346172385,0,0,-399.3660115408094,0,0,-399.3235908493534,0,0
1101,0,1,-411.42023744122184,0,1,0,700,0.05,-408.47773546027474,0,3,-399.67823010517475,0,0,-399.5672384668967,0,0,-399.25457425461695,0,0,-450.1234089191447,0,17
1102,3,0,-402.20900204166776,0,1,0,700,0.05,-398.8077599144247,0,0,-399.20033595781365,0,0,-399.32379826925586,0,0,-399.3543768282399,0,0,-414.35873923860515,1,0
1103,3,1,-400.03270726844124,0,1,0,700,0.05,-399.28180065762996,0,0,-399.5410537398775,0,0,-399.46122217413506,0,0,-399.4294459427529,0,0,-402.4500138278092,0,1
1104,4,0,-450.3961343396394,0,1,0,700,0.05,-578.7198230735944,12,0,-414.33730164740325,1,0,-459.54728117308184,4,0,-399.55574449760064,0,0,-399.82052130651886,0,0
1105,2,1,-432.60327027949523,0,1,0,700,0.05,-519.3977059941169,8,0,-444.84758092921726,0,15,-399.77666521221954,0,0,-399.6157863050062,0,0,-399.37861295691584,0,0
1106,1,1,-399.61355374754254,0,1,0,700,0.05,-399.46988781670535,0,0,-399.4716337315463,0,0,-399.48131188770355,0,0,-399.83283739628956,0,0,-399.8120979054674,0,0
1107,5,1,-399.53453805019444,0,1,0,700,0.05,-399.0718326259348,0,0,-399.58673950863044,0,0,-399.70512858027564,0,0,-399.67561434593995,0,0,-399.63337519019257,0,0
1108,6,1,-406.28414099823465,0,1,0,700,0.05,-420.1509246015834,0,7,-411.7431698860944,0,4,-399.794757020312,0,0,-399.7882006578598,0,0,-399.9436528253232,0,0
1109,4,1,-139.74556275067408,1,0,0,497,0.05,-139.51952427698882,0,0,-139.798619096875,0,0,-139.80591577286762,0,0,-139.80886332713393,0,0,-139.79489127950544,0,0
1110,7,1,-401.631200663122,0,1,0,700,0.05,-399.27566141883284,0,0,-399.23215695255834,0,0,-399.39646884111295,0,0,-399.3592832592456,0,0,-410.8924328438604,0,4
1111,1,0,-455.41616785664473,0,1,0,700,0.05,-495.4033870081004,4,12,-444.7213222714955,1,10,-489.74654716450146,6,0,-399.70893539970785,0,0,-447.50064743941726,0,16
1112,2,0,-399.52523760280087,0,1,0,700,0.05,-399.2875131701867,0,0,-399.5479519473257,0,0,-399.64900784271214,0,0,-399.61642645303124,0,0,-399.5252886007485,0,0
1113,5,0,-399.41014970138656,0,1,0,700,0.05,-399.3733287040896,0,0,-399.54910335654813,0,0,-399.4146725543827,0,0,-399.3010681135067,0,0,-399.41257577840474,0,0
1114,0,0,-412.0965928376974,0,1,0,700,0.05,-425.36509690326625,0,9,-437.8746698031068,1,8,-398.8437506466244,0,0,-399.1907225007037,0,0,-399.20872433478604,0,0
1115,7,0,-399.3859752222861,0,1,0,700,0.05,-399.1129594474887,0,0,-399.366158995462,0,0,-399.5855537186159,0,0,-399.3732443556033,0,0,-399.4919595942609,0,0
1116,6,0,-468.2750703327114,0,1,0,700,0.05,-443.722953213734,3,0,-504.11760793647977,7,0,-489.4007219658644,6,0,-459.69775067668604,4,0,-444.4363178707901,3,0
1117,0,1,-412.55535336499923,0,1,0,700,0.05,-441.8661216953378,0,15,-399.89590545695165,0,0,-399.9525097341927,0,0,-421.0408968841599,0,7,-400.02133305435177,0,0
1118,3,0,-399.4486717194459,0,1,0,700,0.05,-399.4182251731333,0,0,-399.4717525443298,0,0,-399.4233969481205,0,0,-399.4909767068333,0,0,-399.4390072248116,0,0
1119,2,0,126.70514313971667,1,0,0,158,0.05,126.84654832328494,0,0,126.85289556548373,0,0,126.81013891330109,0,0,126.7398536216082,0,0,126.2762792749055,0,0
1120,3,1,-408.291124075511,0,1,0,700,0.05,-428.97101017081974,2,0,-414.43549811530187,1,0,-399.3152254957462,0,0,-399.18390040285726,0,0,-399.549986192829,0,0
1121,4,0,-415.97457340949677,0,1,0,700,0.05,-399.67489008813106,0,0,-399.6620010366383,0,0,-399.64640253682654,0,0,-420.9471165405197,0,7,-459.94245684536435,4,0
1122,2,1,-592.5789038428167,0,1,1,700,0.05,-507.63826969284867,6,6,-888.7222887596457,7,128,-474.25460672612127,6,0,-447.24719191100036,0,16,-645.0321621244676,16,2
1123,1,1,-399.70057379948634,0,1,0,700,0.05,-399.2782963233689,0,0,-399.6700128015386,0,0,-399.69037798430014,0,0,-399.9394920882694,0,0,-399.9246897999532,0,0
1124,5,1,-415.48922085288245,0,1,0,700,0.05,-465.00339496612304,2,12,-414.1928842256841,1,0,-399.30941883021296,0,0,-399.35653139691044,0,0,-399.583874845481,0,0
1125,6,1,-436.7781672352564,0,1,0,700,0.05,-414.5136081937599,0,5,-453.7342520081207,0,18,-447.52980128342267,2,6,-465.7193097398198,0,22,-402.3938649511623,0,1
1126,4,1,-504.74613759205,0,1,0,700,0.05,-399.3523620781332,0,0,-459.5230193432983,4,0,-864.5235405089014,31,0,-400.1113133330319,0,0,-400.2204526968869,0,0
1127,7,1,-405.7961373593696,0,1,0,700,0.05,-399.0121794980792,0,0,-399.0528955233782,0,0,-399.19568085558376,0,0,-399.337164497544,0,0,-432.3827664222639,2,1
1128,1,0,-399.4575806675856,0,1,0,700,0.05,-399.2706917240677,0,0,-399.50913684728744,0,0,-399.5050199906399,0,0,-399.510104551657,0,0,-399.4929502242792,0,0
1129,5,0,-414.5730097371926,0,1,0,700,0.05,-474.1622741977515,0,25,-399.7183383307857,0,0,-399.6897777529985,0,0,-399.6588763029818,0,0,-399.6357821014461,0,0
1130,0,0,-438.1412469656962,0,1,0,700,0.05,-426.57783527595467,1,4,-465.94841283581013,2,12,-459.9641926411581,4,0,-399.7740684905002,0,0,-438.44172558505466,2,3
1131,7,0,-470.4589005529559,0,1,0,700,0.05,-398.2375247500172,0,0,-398.4537951853582,0,0,-668.3882571421467,18,0,-443.549211173927,3,0,-443.6657145133301,3,0
1132,6,0,-407.9401709815246,0,1,0,700,0.05,-398.682765702119,0,0,-399.005523520529,0,0,-398.99023077865763,0,0,-398.96161264132303,0,0,-444.0607222649958,3,0
1133,6,0,249.71428571428572,1,0,0,1,0.05,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1134,0,1,-474.90772228978386,0,1,0,700,0.05,-429.2108302528908,2,0,-519.3002783647293,8,0,-561.2781968804281,9,9,-459.3648166223811,4,0,-405.38448932848775,0,2
1135,3,0,-399.7866605291624,0,1,0,700,0.05,-399.43839959409604,0,0,-399.62223171956487,0,0,-399.60182749954413,0,0,-400.1546853227478,0,0,-400.116158509856,0,0
1136,2,0,-423.78329715147316,0,1,0,700,0.05,-423.74840619342365,0,8,-399.7441103251051,0,0,-495.8140632117142,0,32,-399.7956867503115,0,0,-399.8142192768089,0,0
1137,3,1,-566.0159121420633,0,1,0,700,0.05,-399.2171459134638,0,0,-852.6998029966427,26,21,-510.7110641821768,1,32,-559.2407011912051,0,53,-508.2108464268292,0,36
1138,4,0,-399.3897751060107,0,1,0,700,0.05,-399.56341586655475,0,0,-399.50299346560183,0,0,-399.4372920428351,0,0,-399.2051429652299,0,0,-399.2400311898326,0,0
1139,2,1,-420.72151822254244,0,1,0,700,0.05,-489.5944957008734,6,0,-414.6514282017978,1,0,-399.67792652581903,0,0,-399.70933728501757,0,0,-399.97440339920564,0,0
1140,1,1,-427.84822375479985,0,1,0,700,0.05,-420.5680163697477,0,7,-519.6949032166282,8,0,-399.67866209547253,0,0,-399.6640640775853,0,0,-399.6354730145637,0,0
1141,5,1,-415.79536102639975,0,1,0,700,0.05,-480.71912207592965,0,27,-399.67366419795627,0,0,-399.58727878254535,0,0,-399.49393361370915,0,0,-399.50280646185837,0,0
1142,6,1,-401.5997660309118,0,1,0,700,0.05,-399.3589221133503,0,0,-399.65646230015136,0,0,-399.7256972928567,0,0,-400.09841700402546,0,0,-409.15933144417295,0,3
1143,4,1,-398.9250626945731,0,1,0,700,0.05,-398.58248342336594,0,0,-398.9867248753682,0,0,-398.8685436417444,0,0,-399.1844385029036,0,0,-399.00312302948277,0,0
1144,7,1,-466.05386591731184,0,1,0,700,0.05,-399.77337131251,0,0,-399.6051648621629,0,0,-549.3460519620378,10,0,-579.2250543335517,12,0,-402.3196871162982,0,1
1145,1,0,-399.38909163417753,0,1,0,700,0.05,-399.29508367565614,0,0,-399.3574797467468,0,0,-399.4061643666773,0,0,-399.4273316584407,0,0,-399.45939872336675,0,0
1146,5,0,-414.2401790112468,0,1,0,700,0.05,-459.20588810716106,0,20,-399.2446967727772,0,0,-399.24360597276694,0,0,-399.25429752160005,0,0,-414.25240668192674,0,5
