episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
76,3,0,-995.7231616616261,0,1,0,700,-862.1778638958931,0,155,-2162.1177728176117,117,19,-1054.9957747757435,47,0,-349.7583850324154,0,0,-349.5660117864609,0,0
77,11,1,122.40045153583803,1,0,0,148,67.15446357216155,0,23,-71.47518914937973,0,0,-71.51984044909477,0,0,-71.38155996799469,0,0,-71.63275918364525,0,0
78,4,1,-1323.8991235843714,1,0,0,659,-411.55362533245767,0,48,-740.2160612046719,27,2,-4823.115702033043,297,13,-451.90948098897934,3,26,-439.55789121985435,0,37
79,3,1,-946.5880732774732,0,1,0,700,-705.5675745606422,0,103,-448.7803988158703,0,34,-1373.0152710080147,63,27,-1265.056743144989,61,0,-740.520378857851,26,0
80,4,1,121.92871781417303,1,0,1,68,195.407488320555,0,1,-32.31624373793602,0,0,-32.673553466796875,0,0,-407.5955807864666,26,0,-35.46423554420471,0,1
81,9,1,-831.7334762871265,0,1,0,700,-1044.7087981700897,0,216,-625.693603515625,0,93,-556.6761354207993,0,70,-985.6111662089825,42,2,-745.9776781201363,26,2
82,7,0,-858.7629553675644,0,1,0,700,-1198.6740444600582,0,266,-1065.0646868646145,0,238,-1050.372712224722,0,233,-353.9472233057022,0,0,-425.75610998272896,0,24
83,10,0,-1912.6546024680135,0,1,2,700,-4400.143571287394,267,4,-3483.3151812255383,209,0,-783.2328606843948,30,0,-348.11732199788094,0,0,-348.4640771448612,0,0
84,1,0,-780.3658993363382,0,1,0,700,-1441.9299879074097,35,174,-360.00110337138176,0,4,-438.09336948394775,5,6,-468.1168974637985,8,0,-993.6881384551525,43,0
85,10,1,-838.8705917537217,0,1,0,700,-1438.5757272541523,0,348,-602.7064898014069,0,86,-350.84554943442345,0,1,-452.8421154618263,7,0,-1149.3830768167973,9,223
86,0,1,-405.65592790246046,0,1,0,700,-436.14060658216476,0,13,-347.7501864731312,0,0,-347.9386445879936,0,0,-348.0029149353504,0,0,-348.4472869336605,0,0
87,5,0,-990.449100714922,0,1,1,700,-608.1088909804821,0,70,-351.69117146730423,0,1,-348.98871836066246,0,0,-2434.157554090023,140,0,-1009.2991686761379,44,0
88,9,0,-719.8255158722401,0,1,0,700,-1206.6479291915894,34,100,-356.14969047904015,0,3,-347.1837923824787,0,0,-362.0990751683712,1,0,-1127.047092139721,52,0
89,10,0,216.77051755275048,1,0,0,43,217.6004539855889,0,0,-20.21398514509201,0,0,-20.530576914548874,0,0,-20.44671729207039,0,0,-23.41372972726822,0,1
90,9,1,175.33180849041258,1,0,0,85,149.69301201190268,0,12,-40.01011469960213,0,0,-55.13645255565643,1,0,-40.37480267882347,0,0,-40.36974248290062,0,0
91,9,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
92,6,0,-455.2057046055797,0,1,0,700,-465.3855375945568,0,23,-346.3322539627552,0,0,-346.3742502629757,0,0,-481.5460084080696,9,0,-436.39047279953957,6,0
93,11,0,-527.3021215736869,0,1,0,700,-602.9739020764828,0,68,-490.41293054819107,0,47,-361.71400183439255,0,4,-349.52122434973717,0,0,-631.8885490596294,0,95
94,11,0,242.67070736544474,1,0,0,10,242.688780524901,0,0,-4.463642925024033,0,0,-4.500928461551666,0,0,-4.472119361162186,0,0,-4.469981521368027,0,0
95,10,1,186.28151085887635,1,0,0,83,186.74685605083192,0,0,-39.74548852443695,0,0,-40.017101526260376,0,0,-40.264599442481995,0,0,-40.45496940612793,0,0
96,5,1,-490.7371226310726,0,1,0,700,-775.3966533839703,0,126,-374.80358612537384,0,9,-362.88081005215645,0,5,-347.8812701702118,0,0,-392.72329342365265,3,0
97,0,0,-1263.9715294539933,0,1,0,700,-1925.1913527846336,68,169,-1434.5412200689316,47,127,-1143.906012415886,41,59,-756.926456451416,27,0,-859.2926055490971,27,35
98,8,1,-1086.9386318504803,0,1,0,700,-947.1410387456417,0,183,-798.1639980375767,3,134,-1857.1709670424461,76,122,-1265.9532127678394,61,0,-366.2639426589012,1,0
99,6,1,-1754.2664095878604,0,1,2,700,-4471.112330198288,271,7,-365.0277757048607,1,0,-1745.0353910923004,94,0,-1639.9308522641659,86,0,-350.2256986796856,0,0
100,7,1,-1129.8262702107438,0,1,1,700,-920.0623513162136,4,159,-414.1226515471935,0,22,-402.5361602604389,0,18,-1413.7294287383556,71,0,-2298.680759191513,130,0
101,10,1,86.62405175822116,1,0,0,164,123.05952883618218,0,0,-79.77947661280632,0,0,-82.91237816214561,0,1,-229.84587174654007,10,0,-109.97297209501266,0,10
102,1,1,-558.8562339007856,0,1,0,700,-571.4909146726131,8,17,-911.7162411510944,0,188,-410.4547595381737,0,20,-350.3219396173954,0,0,-350.2973145246506,0,0
103,2,0,-427.73779280185767,0,1,0,700,-442.2857450544834,0,15,-347.60639148950577,0,0,-347.8274298608303,0,0,-437.9520989358425,6,0,-363.01729866862297,1,0
104,2,0,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
105,4,0,-678.8221026301379,0,1,1,700,-536.636272996664,0,46,-351.77376511693,0,1,-348.6893001794815,0,0,-1278.5730019509792,63,0,-678.4381729066372,22,0
106,11,0,-0.003101147072555932,1,0,0,321,-0.10540099229132238,0,0,-158.32856851816177,0,0,-158.3133184015751,0,0,-158.1191411614418,0,0,-158.29193380475044,0,0
107,2,1,-640.920741897821,0,1,0,700,-507.30180618166924,0,36,-1186.6673576533794,0,280,-601.8624635338783,0,85,-352.9074467122555,0,1,-355.86463540792465,0,2
108,8,0,-425.54260650277115,0,1,0,700,-415.8632982969284,0,6,-432.38211926817894,0,28,-375.65461069345474,0,9,-348.94134908914566,0,0,-354.87165516614914,0,2
109,3,0,-665.6686642008173,1,0,0,677,-408.6118849175317,0,43,-336.2005005180836,0,0,-336.4158799648285,0,0,-1716.4386176466942,92,0,-756.9621522426605,28,0
110,11,1,-497.872181528807,0,1,0,700,-579.838368922472,5,36,-601.8970888257027,17,0,-376.89569848775864,2,0,-365.1408514380455,1,1,-365.5888999700546,0,6
111,3,1,-533.3939047753813,0,1,0,700,-399.31814682483673,0,0,-349.58181995153427,0,0,-523.8185569047928,0,58,-457.5454338490963,0,37,-736.7055663466454,0,130
112,6,1,-163.26180219650263,1,0,0,420,-128.05147755146027,2,7,-480.0703998506069,18,1,-207.59506732225418,0,0,-252.79844570159912,3,0,-267.79362055659294,0,20
113,4,1,-567.9835147321227,0,1,0,700,-638.0910905301571,0,80,-710.8536900877953,0,121,-431.62983497977257,0,28,-362.33066046237946,1,0,-497.01229760050774,10,0
114,6,1,219.23039082033293,1,0,0,39,220.72709651929992,0,0,-18.45388376712799,0,0,-18.742790907621384,0,0,-18.35602754354477,0,0,-24.45101162791252,0,2
115,7,0,-421.57575921416344,0,1,0,700,-398.84735029935837,0,0,-349.3118381202221,0,0,-349.5646846294403,0,0,-349.4077995419502,0,0,-460.74712347984314,0,37
116,1,0,-1001.5640728771695,0,1,0,700,-399.6726624369621,0,0,-1313.041985809803,0,322,-1189.7911092042923,0,280,-520.8081655204296,0,57,-1384.5064414143562,0,345
117,0,1,-871.3895487964156,0,1,0,700,-431.0906232893467,0,12,-1815.2178376317024,0,489,-794.8710426688194,0,149,-542.7551344931126,13,0,-573.0131058990955,0,75
118,5,0,-436.09197970032693,0,1,0,700,-460.9191472530365,0,21,-399.2097127735615,0,17,-348.2520095705986,0,0,-408.28183633089066,4,0,-363.79719257354736,1,0
119,9,0,-400.10149816274634,0,1,0,700,-402.31825318932533,0,1,-349.44871431589127,0,0,-349.52379181981087,0,0,-349.5750893652439,0,0,-349.64164212346077,0,0
120,10,0,-688.6936388075342,0,1,1,700,-812.8061507046223,9,98,-1170.5003105700016,0,274,-459.2404527962208,0,37,-362.9986967742443,1,0,-437.9225831925869,6,0
121,9,1,-406.740719771385,0,1,0,700,-398.94884940981865,0,0,-349.33605965971947,0,0,-349.73473516106606,0,0,-349.696141988039,0,0,-385.9878126382828,0,13
122,6,0,-484.7097402095794,0,1,0,700,-502.2845287024975,7,0,-347.5816322863102,0,0,-497.7003493607044,10,0,-482.9550397694111,9,0,-393.02715092897415,3,0
123,9,0,211.80637171353612,1,0,0,50,212.44063736285483,0,0,-23.59441563487053,0,0,-24.193163186311722,0,0,-24.243644058704376,0,0,-24.23469877243042,0,0
124,2,1,-57.30637560657078,1,0,0,390,-53.8065492468221,0,0,-192.36331769824028,0,0,-192.8549998998642,0,0,-193.1366836130619,0,0,-208.65604186058044,1,0
125,5,1,-449.0680102765557,0,1,0,700,-398.11452877521515,0,0,-348.01353082060814,0,0,-348.0238202512264,0,0,-348.0873193144798,0,0,-603.1008522212505,17,0
126,0,0,-684.348642593622,0,1,0,700,-1017.0299961566925,0,206,-1048.2531559169292,0,234,-457.29201528429985,0,36,-349.50708478689194,0,0,-349.6609608232975,0,0
127,8,1,-558.0568591654302,0,1,0,700,-596.6326213479042,0,66,-804.9396751523018,0,152,-352.1892523765564,0,1,-469.0504459142685,8,0,-367.47230103611946,0,6
128,0,1,124.05587133254326,1,0,0,162,124.30776150311743,0,0,-79.41159865260124,0,0,-79.69361916184425,0,0,-79.9355583190918,0,0,-79.8447715640068,0,0
129,7,1,-403.9605907380581,0,1,0,700,-398.4773560166359,0,0,-348.92261403799057,0,0,-349.3343139886856,0,0,-355.5069751739502,0,2,-367.5616944730282,0,6
130,10,1,-440.4569440782065,0,1,0,700,-513.6307355761528,0,38,-349.6361551582813,0,0,-349.6287630498409,0,0,-439.65918350219727,6,0,-349.72988310456276,0,0
131,10,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
132,1,1,-697.2347801446916,0,1,0,700,-662.5875058472157,17,3,-777.5913359820843,14,73,-654.3842782080173,0,103,-348.45278295874596,0,0,-843.1579977273941,33,0
133,5,1,35.35776567288818,1,0,0,166,30.86061796971731,0,30,-141.4309220612049,4,0,-120.15586704015732,0,13,-237.34289824962616,0,52,-165.42781654000282,0,28
134,11,1,-2437.093499342885,1,0,2,485,-5559.819549803223,363,0,-691.7555790245533,31,0,-1921.7473264932632,112,0,-3826.525261193514,239,0,-631.334065914154,26,0
135,11,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
136,2,0,-802.4827743291869,0,1,0,700,-1035.9678169488907,0,213,-820.6478053629398,0,158,-424.29995888471603,0,26,-945.9426526129246,40,0,-585.5556378364563,16,0
137,4,0,-1074.9982470691205,0,1,0,700,-474.40383768081665,5,0,-364.4443556070328,1,0,-1234.373836427927,59,0,-1879.231753706932,102,0,-1222.5374519228935,58,1
138,11,0,-417.22737557888007,0,1,0,700,-398.88368624448776,0,0,-348.92175686359406,0,0,-349.35769310593605,0,0,-436.6983250081539,0,29,-352.27541667222977,0,1
139,8,0,-687.9241653025142,0,1,0,700,-399.28348356485367,0,0,-466.41171953082085,0,39,-1351.575727403164,0,335,-349.1116090416908,0,0,-673.2382869720459,0,108
140,3,0,-513.0262035548687,0,1,0,700,-579.106130450964,12,0,-349.0626554787159,0,0,-739.0210724174976,26,0,-348.99707892537117,0,0,-348.9440805017948,0,0
141,9,0,-146.66451019900205,1,0,0,347,-19.339053192308995,0,0,-170.2556598186493,0,0,-185.85803574323654,1,0,-774.3475202023983,39,6,-186.9508534669876,1,0
142,3,1,-751.1072088658807,0,1,0,700,-398.6003641784191,0,0,-349.185571372509,0,0,-778.7640044391155,0,143,-1678.8215142786503,0,443,-350.1645900607109,0,0
143,4,1,-441.5969631016255,0,1,0,700,-398.58506789803505,0,0,-351.9393540918827,0,1,-559.2974486351013,0,70,-349.05871772766113,0,0,-349.104227155447,0,0
144,6,1,-400.2370691418646,0,1,0,700,-400.2647612988949,0,0,-350.0730184018612,0,0,-350.1079490184784,0,0,-350.3129423558712,0,0,-350.4266746342182,0,0
145,7,0,-865.5252550601957,0,1,0,700,-1103.0016505718231,47,0,-1637.825027704239,86,0,-692.566707700491,23,0,-347.26625341176987,0,0,-346.9666359126568,0,0
146,1,0,-416.70830899051236,1,0,0,677,-788.5129323857171,34,0,-515.2446782588959,12,0,-335.34203681349754,0,0,-335.33564630150795,0,0,-335.3919654786587,0,0
147,5,0,-453.12457017302506,0,1,0,700,-399.1863684654236,0,0,-349.5841768980026,0,0,-406.9581485390663,0,19,-445.83048048615456,0,32,-464.0636764764786,0,38
148,10,0,-684.8082132935529,0,1,0,700,-427.0847127735615,0,10,-488.1377322077751,0,47,-640.913023173809,15,23,-676.5852165818214,21,5,-991.3203817307949,43,0
149,2,0,-204.35824706809825,1,0,0,424,-78.98873902218685,0,0,-267.9384470283985,0,20,-775.0787641704082,0,189,-207.75783610343933,0,0,-207.45602044463158,0,0
150,9,1,-540.8102068245412,0,1,0,700,-398.99464654922485,0,0,-355.5453864336014,0,2,-845.0857239663601,0,166,-356.0175468325615,0,2,-548.4077303409576,0,66
151,6,0,-629.5000922560693,0,1,0,700,-459.5360557436943,1,16,-1306.7734071016312,64,0,-376.7439429163933,2,0,-361.7137742936611,1,0,-442.73328122496605,6,2
152,0,0,-337.08755601559386,1,0,0,631,-247.47453241263116,0,2,-398.10838344693184,0,29,-434.24962654709816,3,26,-332.577638566494,0,7,-551.884741961956,16,0
153,2,1,-428.7523788034915,0,1,0,700,-457.9995396435261,0,20,-428.8387363553047,0,27,-347.5886180996895,0,0,-347.29079481959343,0,0,-362.04420509934425,1,0
154,11,0,-3.55294274176876,1,0,0,300,12.140992956502089,0,1,-158.3484261929989,0,3,-149.28975293040276,0,0,-149.26918494701385,0,0,-230.14119973778725,0,27
155,11,0,234.89654419933046,1,0,0,20,234.68734397206987,0,0,-9.4402015209198,0,0,-9.348944902420044,0,0,-9.323176234960556,0,0,-9.235157459974289,0,0
156,7,0,-0.626591368232539,1,0,0,320,-0.6526348548275962,0,0,-159.21418142318726,0,0,-159.4788058400154,0,0,-159.01029470562935,0,0,-159.06275430321693,0,0
